timestamp,source,confidence,plate_text,plate_image
2026-09-22 21:26:07,video:20260922_212438_video.mp4,0.6860,291 697,plate_20260922_212604_248708_2.jpg
2026-09-22 21:26:09,video:20260922_212438_video.mp4,0.6120,Suc 687756,plate_20260922_212607_092383_3.jpg
2026-09-22 21:26:12,video:20260922_212438_video.mp4,0.5825,30E 7928,plate_20260922_212609_898408_4.jpg
2026-09-22 21:26:14,video:20260922_212438_video.mp4,0.5470,CUle,plate_20260922_212612_282336_5.jpg
2026-09-22 21:26:18,video:20260922_212438_video.mp4,0.5258,78,plate_20260922_212614_944649_6.jpg
2026-09-22 21:26:20,video:20260922_212438_video.mp4,0.3543,,plate_20260922_212618_027656_7.jpg
2026-09-22 21:26:23,video:20260922_212438_video.mp4,0.3076,,plate_20260922_212620_550972_8.jpg
2026-09-22 21:26:32,video:20260922_212438_video.mp4,0.6944,Sue 211017,plate_20260922_212631_901567_0.jpg
2026-09-22 21:26:33,video:20260922_212438_video.mp4,0.6423,302 36025,plate_20260922_212632_603268_1.jpg
2026-09-22 21:26:33,video:20260922_212438_video.mp4,0.5880,,plate_20260922_212633_230290_2.jpg
2026-09-22 21:26:34,video:20260922_212438_video.mp4,0.5674,o4l9,plate_20260922_212633_781754_3.jpg
2026-09-22 21:26:34,video:20260922_212438_video.mp4,0.3199,,plate_20260922_212634_281802_4.jpg
2026-09-22 21:26:35,video:20260922_212438_video.mp4,0.3047,,plate_20260922_212634_860899_5.jpg
2026-09-22 21:26:36,video:20260922_212438_video.mp4,0.2977,,plate_20260922_212635_528945_6.jpg
2026-09-22 21:26:36,video:20260922_212438_video.mp4,0.2871,{789,plate_20260922_212636_085685_7.jpg
2026-09-22 21:26:39,video:20260922_212438_video.mp4,0.6920,2idh,plate_20260922_212639_187161_0.jpg
2026-09-22 21:26:40,video:20260922_212438_video.mp4,0.6755,3oe 36025,plate_20260922_212639_814394_1.jpg
2026-09-22 21:26:40,video:20260922_212438_video.mp4,0.6014,687,plate_20260922_212640_398473_2.jpg
2026-09-22 21:26:41,video:20260922_212438_video.mp4,0.5693,MJile c4ld,plate_20260922_212640_937237_3.jpg
2026-09-22 21:26:42,video:20260922_212438_video.mp4,0.2826,MD,plate_20260922_212641_527794_4.jpg
2026-09-22 21:26:45,video:20260922_212438_video.mp4,0.6831,Zibia,plate_20260922_212644_577596_0.jpg
2026-09-22 21:26:45,video:20260922_212438_video.mp4,0.6241,30e 36025,plate_20260922_212645_275195_1.jpg
